"id";"name"
916;"assistant to tharon musser"
965;"assistant to the artistic director"
852;"assistant to the associate producer"
286;"assistant to the choreographer"
2992;"assistant to the choreographer and hawai"
667;"assistant to the choreographer and hawaiian consultant"
1079;"assistant to the choreographers"
1092;"assistant to the company manager"
341;"assistant to the composer"
424;"assistant to the costume designer"
426;"assistant to the designer"
536;"assistant to the designer (costumes)"
2987;"assistant to the designer (scenery and l"
562;"assistant to the designer (scenery and lighting)"
535;"assistant to the designer (scenery)"
610;"assistant to the designers (costumes)"
613;"assistant to the designers (scenery)"
268;"assistant to the director"
1243;"assistant to the director (london)"
1244;"assistant to the director (new york)"
1412;"assistant to the director and choreographer"
1147;"assistant to the directors"
466;"assistant to the eckarts"
619;"assistant to the eckarts (costumes)"
618;"assistant to the eckarts (scenery)"
1242;"assistant to the fight captain"
1844;"assistant to the fight director"
564;"assistant to the general manager"
779;"assistant to the general managers"
747;"assistant to the lighting designer"
617;"assistant to the manager"
811;"assistant to the managing director"
450;"assistant to the musical director"
448;"assistant to the orchestrator"
291;"assistant to the producer"
459;"assistant to the producers"
2995;"assistant to the scenic and lighting des"
724;"assistant to the scenic and lighting designer"
543;"assistant to the scenic designer"
1409;"assistant to the set designer"
1509;"assistant to the set designers"
1454;"assistant to the sound deisgner"
1476;"assistant to the sound designer"
1262;"assistant to the technical production manager"
739;"assistant to theoni aldredge"
826;"assistant to theoni v. aldredge"
801;"assistant to thomas skelton"
277;"assistant to tom lee"
1162;"assistant to tony stevens"
319;"assistant to watson barratt"
1373;"assistant to wendall k. harrington"
1017;"assistant to wilbur"
665;"assistant to will steven armstrong"
949;"assistant to willa kim"
493;"assistant to william and jean eckart"
1645;"assistant to william ivey long"
632;"assistant to william pitkin"
631;"assistant to wolfgang roth"
2361;"assistant video designer"
2523;"assistant vocal coach"
840;"assistant wig designer"
2526;"assistant/children's dance captain"
1694;"associate (to david rockwell)"
2238;"associate aerial designer"
2732;"associate and supervising director"
1842;"associate artistic director"
1963;"associate casting"
1997;"associate casting director"
623;"associate choreographer"
1594;"associate choreographer (lindy specialist)"
2111;"associate choreographer (to mr. richard)"
2573;"associate choreographer / creative consultant"
989;"associate company manager"
2115;"associate composer"
2187;"associate conducter"
363;"associate conductor"
2534;"associate conductor/keyboard 2/organ"
1641;"associate costume design"
581;"associate costume designer"
1945;"associate costume designer (broadway production)"
1868;"associate costume designer (uk)"
1870;"associate costume designer (us)"
2769;"associate creative director"
2770;"associate creative director, scene director"
670;"associate designer"
2519;"associate dialect coach"
361;"associate director"
2221;"associate director (uk)"
2577;"associate director / dramaturg"
2748;"associate director/associate choreographer"
2670;"associate fight choreographer"
787;"associate general manager"
946;"associate general manager for nysf"
1696;"associate hair and wig designer"
1760;"associate hair designer"
1642;"associate lighting design"
1894;"associate lighting design/automated lighting"
1914;"associate lighting design/programmer"
583;"associate lighting designer"
1948;"associate lighting designer (broadway production)"
2213;"associate lighting designer (programmer)"
2434;"associate lighting designer (uk)"
2290;"associate lighting designer (us)"
1757;"associate lighting designer / automated lights"
1818;"associate lighting designer/automated lights"
2134;"associate lighting designer/moving lights"
2538;"associate make-up designer"
2880;"associate movement director"
2609;"associate music director"
1514;"associate music producer"
1752;"associate music supervisor"
166;"associate musical director"
1260;"associate musical supervisor"
2274;"associate orchestrator"
246;"associate press representative"
35;"associate producer"
2038;"associate producer (co-associate producer)"
2129;"associate producer (for rbt)"
2291;"associate producer (for robert boyett theatricals)"
2300;"associate producer (infinity stages)"
2117;"associate production manager"
2034;"associate production manager (uk)"
1650;"associate production supervisor"
1372;"associate projection designer"
2007;"associate scenic design"
586;"associate scenic designer"
2516;"associate scenic designer (uk)"
2293;"associate scenic designer (us)"
2465;"associate set designer"
1946;"associate set designer (broadway production)"
1991;"associate set designer (uk)"
2920;"associate sound design"
1227;"associate sound designer"
1944;"associate sound designer (broadway production)"
2211;"associate sound designer (uk)"
2214;"associate sound designer (us)"
1717;"associate special effects"
1919;"associate special effects designer"
254;"associate stage manager"
2008;"associate technical director"
1961;"associate technical supervisor"
1192;"associate theatre owner / operator"
3007;"associate to barry m. brown and fritz ho"
917;"associate to barry m. brown and fritz holt"
941;"associate to general managers"
1090;"associate to joseph harris"
1070;"associate to messrs. harris / bernstein"
1027;"associate to messrs. harris and bernstein"
773;"associate to miss aldredge"
778;"associate to miss white"
2108;"associate to mr. ahrens"
775;"associate to mr. aronstein"
1164;"associate to mr. bloch"
1075;"associate to mr. harris"
566;"associate to mr. mielziner"
1298;"associate to ms. aldredge"
1040;"associate to ms. lee"
1004;"associate to ms. white"
1133;"associate to the general manager"
938;"associate to the general managers"
602;"associate to the producer"
593;"associate to the producers"
1142;"associate to the production"
1281;"associate to wendell harrington"
2141;"associate u.s. set designer"
2139;"associate uk set designer"
2378;"associate video and projection designer"
1864;"associate video designer"
2248;"associate wig designer"
822;"author"
2543;"author (source material)"
2580;"author / director"
1763;"author of original novel"
1410;"automated lighting programmer"
1943;"automated lights programmer"
2179;"backing vocals"
2025;"balalaika, mandolin"
1422;"ballet and dance arrangements"
168;"ballet staging"
1363;"bamboo flutes/flute/piccolo"
2178;"band manager"
1014;"band member"
152;"banjo"
1447;"banjo / guitar"
1176;"banjo, mandolin"
599;"banjo, percussion"
2394;"banjo/guitar/mandolin/ukulele/harmonica"
761;"baritone sax and reeds"
2328;"baritone saxophone/percussion"
2721;"based on peccadillo by"
1181;"based on the original costume designs by"
294;"bass"
903;"bass & tuba"
1069;"bass - lena's trio"
186;"bass - tuba"
154;"bass and bass saxaphone"
986;"bass clarinet"
495;"bass drum"
947;"bass guitar"
1287;"bass guitar, cello, vocals"
1279;"bass guitarist, vocalist"
996;"bass player"
2986;"bass samisen, big bass drum, 17 reed pip"
497;"bass samisen, big bass drum, 17 reed pipe"
945;"bass trombone"
1525;"bass trombone / tuba"
1365;"bass trombone/tuba"
1271;"bass, bamboo flute"
1430;"bass, cello, vocals"
1456;"bass, electric bass"
999;"bass, tuba"
2020;"bass/electric bass"
2207;"bass/fretless bass"
2227;"bass/fretless electric bass"
2279;"bass/guitar"
2331;"bass/keyboards/percussion"
1900;"bass/tuba"
1561;"bassist"
682;"bassoon"
1449;"bassoon / tenor sax"
402;"bassoon, clarinet, alto saxaphone"
1253;"bassoon, clarinet, baritone sax"
1755;"bassoon/baritone sax/clarinet/bass clarinet/flute"
1110;"bassoon/clarinet/baritone sax"
2509;"bassoon/flute/clarinet"
499;"bell"
2173;"benefit director"
1941;"biographical research"
1745;"book"
699;"book (adaptation)"
75;"book (additional)"
1187;"book (new)"
697;"book (revisions)"
1268;"book and additional lyrics"
2012;"book and lyrics"
2785;"book and music"
2615;"book and original lyrics"
100;"book revisions"
998;"book revisions (doctoring)"
2059;"book revisions (translation)"
1878;"book writer"
1918;"book, lyrics and music"
2715;"book, music, and lyrics"
2729;"book, music, lyrics"
1907;"book/conceiver"
59;"book/lyrics (english)"
2096;"book/music and lyrics"
2097;"book/music and lyrics/on-air judge"
13;"bookwriter"
2954;"bookwriter & lyricist"
2499;"bookwriter ((new book))"
2500;"bookwriter ((original book))"
835;"bookwriter (1999 broadway revival)"
825;"bookwriter (adaptation)"
429;"bookwriter (addional material)"
310;"bookwriter (additional dialogue)"
2015;"bookwriter (additional material)"
1302;"bookwriter (additional text)"
343;"bookwriter (additional)"
1675;"bookwriter (construction)"
472;"bookwriter (dialogue)"
1023;"bookwriter (dialogue/narration)"
974;"bookwriter (doctored)"
1061;"bookwriter (editor)"
41;"bookwriter (english)"
1590;"bookwriter (in collaboration with)"
1191;"bookwriter (narration)"
1301;"bookwriter (narrative continuity)"
2285;"bookwriter (new book)"
1220;"bookwriter (original french text)"
645;"bookwriter (original french version)"
1676;"bookwriter (reconstruction)"
217;"bookwriter (revised book (1987))"
216;"bookwriter (revised book)"
1680;"bookwriter (revisions)"
2596;"bookwriter (selected text by)"
1067;"bookwriter (special material)"
1604;"bookwriter (translation)"
2696;"bookwriter / lyricist"
2952;"bookwriter, composer, & lyricist"
174;"bookwriter/composer"
62;"bookwriter/composer/lyricist"
2974;"bookwriter/composer/lyricist (additional"
82;"bookwriter/composer/lyricist (additional)"
