"id";"date_instantiated";"street_address";"address_locality";"address_region";"postal_code";"year_closed";"year_demolished";"capacity";"name"
6296;"2020-10-14 04:36:30";"2301 South Lake Shore Dr.";"Chicago";"IL";"";0;0;4319;"Arie Crown Theatre"
6315;"2020-10-14 04:36:30";"";"Wayne, NJ";"";"";0;0;0;"William Paterson College Theatre"
6324;"2020-10-14 04:36:30";"710 Main St.";"Buffalo, NY";"";"";0;0;637;"Studio Arena Theatre"
6335;"2020-10-14 04:36:30";"";"East Hampton, NY";"";"";0;0;0;"John Drew Theatre"
6394;"2020-10-14 04:36:30";"1020 Broad Street";"Newark, NJ";"";"";0;0;2880;"Mosque Theatre"
6396;"2020-10-14 04:36:30";"";"Detroit, MI";"";"";0;0;0;"Cass Theatre"
6398;"2020-10-14 04:36:30";"539 Washington Street";"Boston";"MA";"";0;0;0;"Boston Opera House"
6399;"2020-10-14 04:36:30";"135 W. San Carlos St.";"San Jose, CA";"";"";0;0;3060;"Civic Auditorium"
6401;"2020-10-14 04:36:30";"";"Glen Cove, NY";"";"";0;0;0;"Northstage Theatre"
6405;"2020-10-14 04:36:30";"511 10th Street, NW";"Washington";"DC";"";0;0;0;"Ford's Theatre"
6406;"2020-10-14 04:36:30";"27 Front Street East";"Toronto";"";"";0;0;876;"Bluma Appel Theatre [St. Lawrence Centre for the Arts]"
6507;"2020-10-14 04:36:30";"";"Tarrytown, NY";"";"";0;0;0;"Music Hall"
6563;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"O'Keefe Centre"
6599;"2020-10-14 04:36:30";"725 Vineland Place";"Minneapolis, MN";"";"";0;0;0;"Guthrie Theatre"
6600;"2020-10-14 04:36:30";"276 Tremont Street";"Boston";"MA";"";0;0;0;"Tremont Theatre"
6622;"2020-10-14 04:36:30";"263 W. 86th St.";"New York";"NY";"";0;0;0;"West End Theatre"
6665;"2020-10-14 04:36:30";"";"New York";"NY";"";0;0;0;"3rd Avenue Theatre"
6668;"2020-10-14 04:36:30";"";"New York";"NY";"";0;0;0;"Columbus Theatre"
6670;"2020-10-14 04:36:30";"143 E. 14th St.";"New York";"NY";"";1928;1928;0;"Tony Pastor's 14th Street Theatre"
6696;"2020-10-14 04:36:30";"245 W. 52nd St.";"New York";"NY";"10019";0;0;1228;"August Wilson Theatre"
6755;"2020-10-14 04:36:30";"";"Montreal, Canada";"";"";0;0;0;"Garden of Stars Expo 67"
6829;"2020-10-14 04:36:30";"";"New York";"NY";"";0;0;0;"New York Comedy Theatre"
6840;"2020-10-14 04:36:30";"1021-1029 Chestnut St.";"Philadelphia";"PA";"";0;0;0;"Chestnut Street Opera House"
6902;"2020-10-14 04:36:30";"235 W. 49th St.";"New York";"NY";"";1940;1940;750;"49th Street Theatre"
6905;"2020-10-14 04:36:30";"250 W. 52nd St.";"New York";"NY";"";0;0;1344;"Alvin Theatre"
6906;"2020-10-14 04:36:30";"226 W.46th St.";"New York";"NY";"";0;0;1368;"46th Street Theatre"
6983;"2020-10-14 04:36:30";"152 W. 54th St.";"New York";"";"";0;1970;0;"54th Street Theatre"
6984;"2020-10-14 04:36:30";"261 W. 47th St.";"New York";"NY";"";0;0;650;"Samuel J. Friedman Theatre"
6985;"2020-10-14 04:36:30";"250 W. 52nd St.";"New York";"NY";"10019";0;0;1467;"Neil Simon Theatre"
6987;"2020-10-14 04:36:30";"219 W. 49th St.";"New York";"NY";"10019";0;0;1125;"Ambassador Theatre"
6994;"2020-10-14 04:36:30";"226 W. 46th St.";"New York";"NY";"10036";0;0;1400;"Richard Rodgers Theatre"
6996;"2020-10-14 04:36:30";"226 W. 46th St.";"New York";"NY";"10036";0;0;1380;"Chanin's 46th Street Theatre"
7000;"2020-10-14 04:36:30";"246 W. 44th St.";"New York";"NY";"10036";0;0;1710;"Erlanger's Theatre"
7003;"2020-10-14 04:36:30";"213 W. 42nd St.";"New York";"NY";"10036";0;0;1829;"Ford Center for the Performing Arts"
7006;"2020-10-14 04:36:30";"230 W. 49th St.";"New York";"NY";"10019";0;0;1108;"Forrest Theatre"
7011;"2020-10-14 04:36:30";"254 W. 54th St.";"New York";"NY";"10019";0;0;922;"New Yorker Theatre"
7016;"2020-10-14 04:36:30";"254 W. 54th St.";"New York";"NY";"10019";0;0;922;"Gallo Opera House"
7018;"2020-10-14 04:36:30";"205 W. 46th St.";"New York";"NY";"10036";0;0;1509;"Globe Theatre"
7020;"2020-10-14 04:36:30";"245 W. 52nd St.";"New York";"NY";"10019";0;0;1222;"Virginia Theatre"
7024;"2020-10-14 04:36:30";"245 W. 52nd St.";"New York";"NY";"10019";0;0;1222;"Guild Theatre"
7027;"2020-10-14 04:36:30";"240 W. 44th St.";"New York";"NY";"10036";0;0;597;"Little Theatre"
7033;"2020-10-14 04:36:30";"149 W. 45th St.";"New York";"NY";"10036";0;0;922;"Lyceum Theatre (Broadway)"
7037;"2020-10-14 04:36:30";"256 W. 47th St.";"New York";"NY";"10036";0;0;1109;"Mansfield Theatre"
7038;"2020-10-14 04:36:30";"256 W. 47th St.";"New York";"NY";"10036";0;0;1109;"Lew Fields' Mansfield Theatre"
7040;"2020-10-14 04:36:30";"1535 Broadway";"New York";"NY";"10036";0;0;1612;"Marquis Theatre"
7042;"2020-10-14 04:36:30";"302 W. 45th St.";"New York";"NY";"10036";0;0;1437;"Martin Beck Theatre"
7044;"2020-10-14 04:36:30";"252 W. 45th St.";"New York";"NY";"10036";0;0;805;"Theatre Masque"
7047;"2020-10-14 04:36:30";"208 W. 41st St.";"New York";"NY";"10036";0;0;1235;"Nederlander Theatre"
7048;"2020-10-14 04:36:30";"208 W. 41st St.";"New York";"NY";"10036";0;0;1232;"Trafalgar Theatre"
7049;"2020-10-14 04:36:30";"208 W. 41st St.";"New York";"NY";"10036";0;0;1232;"Billy Rose Theatre"
7050;"2020-10-14 04:36:30";"208 W. 41st St.";"New York";"NY";"10036";0;0;1232;"National Theatre"
7054;"2020-10-14 04:36:30";"236 W. 45th St.";"New York";"NY";"10036";0;0;1093;"Plymouth Theatre"
7057;"2020-10-14 04:36:30";"219 W. 48th St.";"New York";"NY";"10036";0;0;947;"Ritz Theatre"
