id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
6905,250 W. 52nd St.,New York,NY,NULL,NULL,NULL,1344,Alvin Theatre
6906,226 W.46th St.,New York,NY,NULL,NULL,NULL,1368,46th Street Theatre
6983,152 W. 54th St.,New York,NULL,NULL,NULL,1970,NULL,54th Street Theatre
6984,261 W. 47th St.,New York,NY,NULL,NULL,NULL,650,Samuel J. Friedman Theatre
6985,250 W. 52nd St.,New York,NY,10019,NULL,NULL,1467,Neil Simon Theatre
6987,219 W. 49th St.,New York,NY,10019,NULL,NULL,1125,Ambassador Theatre
6994,226 W. 46th St.,New York,NY,10036,NULL,NULL,1400,Richard Rodgers Theatre
6996,226 W. 46th St.,New York,NY,10036,NULL,NULL,1380,Chanin's 46th Street Theatre
7000,246 W. 44th St.,New York,NY,10036,NULL,NULL,1710,Erlanger's Theatre
7003,213 W. 42nd St.,New York,NY,10036,NULL,NULL,1829,Ford Center for the Performing Arts
7006,230 W. 49th St.,New York,NY,10019,NULL,NULL,1108,Forrest Theatre
7011,254 W. 54th St.,New York,NY,10019,NULL,NULL,922,New Yorker Theatre
7016,254 W. 54th St.,New York,NY,10019,NULL,NULL,922,Gallo Opera House
7018,205 W. 46th St.,New York,NY,10036,NULL,NULL,1509,Globe Theatre
7020,245 W. 52nd St.,New York,NY,10019,NULL,NULL,1222,Virginia Theatre
7024,245 W. 52nd St.,New York,NY,10019,NULL,NULL,1222,Guild Theatre
7027,240 W. 44th St.,New York,NY,10036,NULL,NULL,597,Little Theatre
7033,149 W. 45th St.,New York,NY,10036,NULL,NULL,922,Lyceum Theatre (Broadway)
7037,256 W. 47th St.,New York,NY,10036,NULL,NULL,1109,Mansfield Theatre
7038,256 W. 47th St.,New York,NY,10036,NULL,NULL,1109,Lew Fields' Mansfield Theatre
7040,1535 Broadway,New York,NY,10036,NULL,NULL,1612,Marquis Theatre
7042,302 W. 45th St.,New York,NY,10036,NULL,NULL,1437,Martin Beck Theatre
7044,252 W. 45th St.,New York,NY,10036,NULL,NULL,805,Theatre Masque
7047,208 W. 41st St.,New York,NY,10036,NULL,NULL,1235,Nederlander Theatre
7048,208 W. 41st St.,New York,NY,10036,NULL,NULL,1232,Trafalgar Theatre
7049,208 W. 41st St.,New York,NY,10036,NULL,NULL,1232,Billy Rose Theatre
7050,208 W. 41st St.,New York,NY,10036,NULL,NULL,1232,National Theatre
7054,236 W. 45th St.,New York,NY,10036,NULL,NULL,1093,Plymouth Theatre
7057,219 W. 48th St.,New York,NY,10036,NULL,NULL,947,Ritz Theatre
7059,242 W. 45th St.,New York,NY,10036,NULL,NULL,1101,Royale Theatre
7063,229 W. 42nd St.,New York,NY,10036,NULL,NULL,740,Selwyn Theatre
7066,111 W. 44th St.,New York,NY,10036,NULL,NULL,1040,Stuyvesant Theatre
7068,222 W. 51st St.,New York,NY,10019,NULL,NULL,1935,Uris Theatre
7070,1634 Broadway (At W. 50th St.),New York,NY,10019,NULL,NULL,1526,Winter Garden Theatre (Broadway)
