year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Meg Bussert,Brigadoon,Fiona MacLaren,https://en.wikipedia.org/wiki/Meg_Bussert,https://en.wikipedia.org/wiki/Brigadoon,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Chita Rivera,Bring Back Birdie,Rosie Alvarez,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Bring_Back_Birdie,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Linda Ronstadt,The Pirates of Penzance,Mabel,https://en.wikipedia.org/wiki/Linda_Ronstadt,https://en.wikipedia.org/wiki/The_Pirates_of_Penzance,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Jennifer Holliday,Dreamgirls,Effie White,https://en.wikipedia.org/wiki/Jennifer_Holliday,https://en.wikipedia.org/wiki/Dreamgirls,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Lisa Mordente,Marlowe,Emelia Bossano,https://en.wikipedia.org/wiki/Lisa_Mordente,https://en.wikipedia.org/wiki/Marlowe_(musical),https://en.wikipedia.org/wiki/Emilia_Lanier
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Mary Gordon Murray,Little Me,Belle Poitrine,,https://en.wikipedia.org/wiki/Little_Me_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Sheryl Lee Ralph,Dreamgirls,Deena Jones,https://en.wikipedia.org/wiki/Sheryl_Lee_Ralph,,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Natalia Makarova,On Your Toes,Vera Barnova,https://en.wikipedia.org/wiki/Natalia_Makarova,https://en.wikipedia.org/wiki/On_Your_Toes,https://en.wikipedia.org/wiki/Vera_Zorina
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Lonette McKee,Show Boat,Julie LaVerne,https://en.wikipedia.org/wiki/Lonette_McKee,https://en.wikipedia.org/wiki/Show_Boat,https://en.wikipedia.org/wiki/Julie_Dozier
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Chita Rivera,Merlin,The Queen,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Merlin_(musical),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Twiggy,My One and Only,Edith Herbert,https://en.wikipedia.org/wiki/Twiggy,https://en.wikipedia.org/wiki/My_One_and_Only_(musical),
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Bernadette Peters,Sunday in the Park with George,Dot / Marie,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Liza Minnelli,The Rink,Angel,https://en.wikipedia.org/wiki/Liza_Minnelli,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Rhetta Hughes,Amen Corner,Sister Margaret Alexander,https://en.wikipedia.org/wiki/Rhetta_Hughes,https://en.wikipedia.org/wiki/Amen_Corner_(musical),
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Chita Rivera,The Rink,Anna,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/The_Rink_(musical),
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Bernadette Peters,Song and Dance,Emma,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/Song_and_Dance,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Debbie Allen,Sweet Charity,Charity Hope Valentine,https://en.wikipedia.org/wiki/Debbie_Allen,https://en.wikipedia.org/wiki/Sweet_Charity,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Cleo Laine,The Mystery of Edwin Drood,Angela Prysock / The Princess Puffer,https://en.wikipedia.org/wiki/Cleo_Laine,https://en.wikipedia.org/wiki/Drood,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Chita Rivera,Jerry's Girls,Various Characters,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Jerry%27s_Girls,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Maryann Plunkett,Me and My Girl,Sally Smith,https://en.wikipedia.org/wiki/Maryann_Plunkett,https://en.wikipedia.org/wiki/Me_and_My_Girl,
