year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical),John Cameron Mitchell,https://en.wikipedia.org/wiki/John_Cameron_Mitchell,Stephen Trask,https://en.wikipedia.org/wiki/Stephen_Trask,Stephen Trask,https://en.wikipedia.org/wiki/Stephen_Trask
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Schönberg,,Herbert Kretzmer,https://en.wikipedia.org/wiki/Herbert_Kretzmer
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Violet,https://en.wikipedia.org/wiki/Violet_(musical),Brian Crawley,,Jeanine Tesori,https://en.wikipedia.org/wiki/Jeanine_Tesori,Crawley,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,On the Town,https://en.wikipedia.org/wiki/On_the_Town_(musical),Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Comden & Green,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Comden & Green,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(musical),Marsha Norman,https://en.wikipedia.org/wiki/Marsha_Norman,"Stephen Bray,Brenda Russell&Allee Willis",https://en.wikipedia.org/wiki/Stephen_Bray,"Stephen Bray,Brenda Russell&Allee Willis",https://en.wikipedia.org/wiki/Stephen_Bray
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical),Steven Sater,https://en.wikipedia.org/wiki/Steven_Sater,Duncan Sheik,https://en.wikipedia.org/wiki/Duncan_Sheik,Sater,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Falsettos,https://en.wikipedia.org/wiki/Falsettos,James Lapine&William Finn,https://en.wikipedia.org/wiki/James_Lapine,Finn,,Finn,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon,Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Schönberg,,Boublil &Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical),Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
