year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1993,1993,/wiki/47th_Tony_Awards,False,K. Todd Freeman,https://en.wikipedia.org/wiki/K._Todd_Freeman,Jacob Zulu,,The Song of Jacob Zulu,https://en.wikipedia.org/wiki/The_Song_of_Jacob_Zulu
1994,1994,/wiki/48th_Tony_Awards,True,Stephen Spinella,https://en.wikipedia.org/wiki/Stephen_Spinella,Prior Walter,,Angels in America: Perestroika,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes
1994,1994,/wiki/48th_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Timon,https://en.wikipedia.org/wiki/Timon_of_Athens_(person),Timon of Athens,https://en.wikipedia.org/wiki/Timon_of_Athens
1994,1994,/wiki/48th_Tony_Awards,False,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,Spooner,,No Man's Land,https://en.wikipedia.org/wiki/No_Man%27s_Land_(play)
1994,1994,/wiki/48th_Tony_Awards,False,Sam Waterston,https://en.wikipedia.org/wiki/Sam_Waterston,Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,Abe Lincoln in Illinois,https://en.wikipedia.org/wiki/Abe_Lincoln_in_Illinois_(play)
1995,1995,/wiki/49th_Tony_Awards,False,Joe Sears,,Various Characters,,A Tuna Christmas,https://en.wikipedia.org/wiki/A_Tuna_Christmas
1995,1995,/wiki/49th_Tony_Awards,True,Ralph Fiennes,https://en.wikipedia.org/wiki/Ralph_Fiennes,Prince Hamlet,https://en.wikipedia.org/wiki/Prince_Hamlet,Hamlet,https://en.wikipedia.org/wiki/Hamlet
1995,1995,/wiki/49th_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Sganarelle,,The Molière Comedies,
1995,1995,/wiki/49th_Tony_Awards,False,Roger Rees,https://en.wikipedia.org/wiki/Roger_Rees,George,,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles
1996,1996,/wiki/50th_Tony_Awards,True,George Grizzard,https://en.wikipedia.org/wiki/George_Grizzard,Tobias,,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
1996,1996,/wiki/50th_Tony_Awards,False,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,George Hay,,Moon Over Buffalo,https://en.wikipedia.org/wiki/Moon_Over_Buffalo
1996,1996,/wiki/50th_Tony_Awards,False,George C. Scott,https://en.wikipedia.org/wiki/George_C._Scott,Henry Drummond,,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
1996,1996,/wiki/50th_Tony_Awards,False,Martin Shaw,https://en.wikipedia.org/wiki/Martin_Shaw,Lord Goring,,An Ideal Husband,https://en.wikipedia.org/wiki/An_Ideal_Husband
1997,1997,/wiki/51st_Tony_Awards,False,Antony Sher,https://en.wikipedia.org/wiki/Antony_Sher,Stanley,https://en.wikipedia.org/wiki/Stanley_Spencer,Stanley,https://en.wikipedia.org/wiki/Stanley_(play)
1997,1997,/wiki/51st_Tony_Awards,False,Michael Gambon,https://en.wikipedia.org/wiki/Michael_Gambon,Tom Sergeant,,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
