year,season,season_link,winner,director,director_link,production,production_link
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Brian Macdonald,https://en.wikipedia.org/wiki/Brian_Macdonald_(choreographer),The Mikado,https://en.wikipedia.org/wiki/The_Mikado
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Trevor Nunn,https://en.wikipedia.org/wiki/Trevor_Nunn,Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Mike Ockrent,https://en.wikipedia.org/wiki/Mike_Ockrent,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Mbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema,Sarafina!,https://en.wikipedia.org/wiki/Sarafina!_(musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Jerry Zaks,https://en.wikipedia.org/wiki/Jerry_Zaks,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,The Phantom of the Opera†,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Hector Orezzoli and Claudio Segovia,,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical)
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Peter Mark Schifter,,Welcome to the Club,https://en.wikipedia.org/wiki/Welcome_to_the_Club_(musical)
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Jerome Robbins,https://en.wikipedia.org/wiki/Jerome_Robbins,Jerome Robbins' Broadway†,https://en.wikipedia.org/wiki/Jerome_Robbins%27_Broadway
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Larry Carpenter,https://en.wikipedia.org/wiki/Larry_Carpenter,Starmites,https://en.wikipedia.org/wiki/Starmites
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Susan H. Schulman,https://en.wikipedia.org/wiki/Susan_H._Schulman,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Trevor Nunn,https://en.wikipedia.org/wiki/Trevor_Nunn,Aspects of Love,https://en.wikipedia.org/wiki/Aspects_of_Love
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Michael Blakemore,https://en.wikipedia.org/wiki/Michael_Blakemore,City of Angels†,https://en.wikipedia.org/wiki/City_of_Angels_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,The Will Rogers Follies†,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Nicholas Hytner,https://en.wikipedia.org/wiki/Nicholas_Hytner,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Eleanor Reissa,,Those Were the Days,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Jerry Zaks,https://en.wikipedia.org/wiki/Jerry_Zaks,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Falsettos,https://en.wikipedia.org/wiki/Falsettos
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Mike Ockrent,https://en.wikipedia.org/wiki/Mike_Ockrent,Crazy for You†,https://en.wikipedia.org/wiki/Crazy_for_You_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Des McAnuff,https://en.wikipedia.org/wiki/Des_McAnuff,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Bill Kenwrightand Bob Tomson,https://en.wikipedia.org/wiki/Bill_Kenwright,Blood Brothers,https://en.wikipedia.org/wiki/Blood_Brothers_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,The Goodbye Girl,https://en.wikipedia.org/wiki/The_Goodbye_Girl_(musical)
