year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,"How Now, Dow Jones","https://en.wikipedia.org/wiki/How_Now,_Dow_Jones",Max Shulman,https://en.wikipedia.org/wiki/Max_Shulman,Elmer Bernstein,https://en.wikipedia.org/wiki/Elmer_Bernstein,Carolyn Leigh,https://en.wikipedia.org/wiki/Carolyn_Leigh
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Illya Darling,https://en.wikipedia.org/wiki/Illya_Darling,Jules Dassin,https://en.wikipedia.org/wiki/Jules_Dassin,Manos Hatzidakis,https://en.wikipedia.org/wiki/Manos_Hatzidakis,Joe Darion,https://en.wikipedia.org/wiki/Joe_Darion
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,1776,https://en.wikipedia.org/wiki/1776_(musical),Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Sherman Edwards,https://en.wikipedia.org/wiki/Sherman_Edwards,Sherman Edwards,https://en.wikipedia.org/wiki/Sherman_Edwards
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Hair,https://en.wikipedia.org/wiki/Hair_(musical),James Rado&Gerome Ragni,https://en.wikipedia.org/wiki/James_Rado,Galt MacDermot,https://en.wikipedia.org/wiki/Galt_MacDermot,Rado,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Burt Bacharach,https://en.wikipedia.org/wiki/Burt_Bacharach,Hal David,https://en.wikipedia.org/wiki/Hal_David
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical),Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Coco,https://en.wikipedia.org/wiki/Coco_(musical),Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner,André Previn,https://en.wikipedia.org/wiki/Andr%C3%A9_Previn,Lerner,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Purlie,https://en.wikipedia.org/wiki/Purlie,"Ossie Davis,Philip Rose& Peter Udell",https://en.wikipedia.org/wiki/Ossie_Davis,Gary Geld,,Udell,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Applause,https://en.wikipedia.org/wiki/Applause_(musical),Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Lee Adams,https://en.wikipedia.org/wiki/Lee_Adams
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Company,https://en.wikipedia.org/wiki/Company_(musical),George Furth,https://en.wikipedia.org/wiki/George_Furth,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
