year,season,season_link,winner,designer,designer_link,production,production_link,award type
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,The Wild Party,https://en.wikipedia.org/wiki/The_Wild_Party_(LaChiusa_musical),Best Lighting Design
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Peter Kaczorowski,https://en.wikipedia.org/wiki/Peter_Kaczorowski,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Best Lighting Design
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Aida,https://en.wikipedia.org/wiki/Aida,Best Lighting Design
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Marie Christine,https://en.wikipedia.org/wiki/Marie_Christine,Best Lighting Design
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,,,,,Best Lighting Design
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Peter Kaczorowski,https://en.wikipedia.org/wiki/Peter_Kaczorowski,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical),Best Lighting Design
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Jane Eyre,https://en.wikipedia.org/wiki/Jane_Eyre_(musical),Best Lighting Design
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),Best Lighting Design
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Kenneth Posner,https://en.wikipedia.org/wiki/Kenneth_Posner,The Adventures of Tom Sawyer,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(musical),Best Lighting Design
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,The Crucible',https://en.wikipedia.org/wiki/The_Crucible,Best Lighting Design
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Sweet Smell of Success,https://en.wikipedia.org/wiki/Sweet_Smell_of_Success_(musical),Best Lighting Design
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!,Best Lighting Design
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,,,,,Best Lighting Design
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,Best Lighting Design
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,,,,,Best Lighting Design
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Nigel Levings,https://en.wikipedia.org/wiki/Nigel_Levings,La bohème,https://en.wikipedia.org/wiki/La_boh%C3%A8me,Best Lighting Design
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Movin' Out,https://en.wikipedia.org/wiki/Movin%27_Out_(musical),Best Lighting Design
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,Nine,https://en.wikipedia.org/wiki/Nine_(musical),Best Lighting Design
