year,season,season_link,winner,director,director_link,production,production_link
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Robert Falls,https://en.wikipedia.org/wiki/Robert_Falls,Long Day's Journey Into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_Into_Night
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Deborah Warner,https://en.wikipedia.org/wiki/Deborah_Warner,Medea,https://en.wikipedia.org/wiki/Medea_(play)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Jack O'Brien,https://en.wikipedia.org/wiki/Jack_O%27Brien_(director),"Henry IV, Part 1andPart 2","https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Doug Hughes,https://en.wikipedia.org/wiki/Doug_Hughes,Frozen,https://en.wikipedia.org/wiki/Frozen_(play)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Moises Kaufman,https://en.wikipedia.org/wiki/Moises_Kaufman,I Am My Own Wife,https://en.wikipedia.org/wiki/I_Am_My_Own_Wife
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,David Leveaux,https://en.wikipedia.org/wiki/David_Leveaux,Jumpers,https://en.wikipedia.org/wiki/Jumpers_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Doug Hughes,https://en.wikipedia.org/wiki/Doug_Hughes,Doubt: A Parable,https://en.wikipedia.org/wiki/Doubt:_A_Parable
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,John Crowley,https://en.wikipedia.org/wiki/John_Crowley_(director),The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Scott Ellis,https://en.wikipedia.org/wiki/Scott_Ellis,Twelve Angry Men,https://en.wikipedia.org/wiki/Twelve_Angry_Men_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Bartlett Sher,https://en.wikipedia.org/wiki/Bartlett_Sher,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,Rabbit Hole,https://en.wikipedia.org/wiki/Rabbit_Hole
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Wilson Milam,https://en.wikipedia.org/wiki/Wilson_Milam,The Lieutenant of Inishmore,https://en.wikipedia.org/wiki/The_Lieutenant_of_Inishmore
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Nicholas Hytner,https://en.wikipedia.org/wiki/Nicholas_Hytner,The History Boys,https://en.wikipedia.org/wiki/The_History_Boys
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Jack O'Brien,https://en.wikipedia.org/wiki/Jack_O%27Brien_(director),The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Michael Grandage,https://en.wikipedia.org/wiki/Michael_Grandage,Frost/Nixon,https://en.wikipedia.org/wiki/Frost/Nixon_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,David Grindley,,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Melly Still,https://en.wikipedia.org/wiki/Melly_Still,Coram Boy,https://en.wikipedia.org/wiki/Coram_Boy_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Anna D. Shapiro,https://en.wikipedia.org/wiki/Anna_D._Shapiro,August: Osage County,https://en.wikipedia.org/wiki/August:_Osage_County
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Maria Aitken,https://en.wikipedia.org/wiki/Maria_Aitken,The 39 Steps,https://en.wikipedia.org/wiki/The_39_Steps_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Conor McPherson,https://en.wikipedia.org/wiki/Conor_McPherson,The Seafarer,https://en.wikipedia.org/wiki/The_Seafarer_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Matthew Warchus,https://en.wikipedia.org/wiki/Matthew_Warchus,Boeing Boeing,https://en.wikipedia.org/wiki/Boeing_Boeing_(play)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Matthew Warchus,https://en.wikipedia.org/wiki/Matthew_Warchus,The Norman Conquests,https://en.wikipedia.org/wiki/The_Norman_Conquests
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Matthew Warchus,https://en.wikipedia.org/wiki/Matthew_Warchus,God of Carnage,https://en.wikipedia.org/wiki/God_of_Carnage
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Phyllida Lloyd,https://en.wikipedia.org/wiki/Phyllida_Lloyd,Mary Stuart,https://en.wikipedia.org/wiki/Mary_Stuart_(play)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Bartlett Sher,https://en.wikipedia.org/wiki/Bartlett_Sher,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Gregory Mosher,https://en.wikipedia.org/wiki/Gregory_Mosher,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Kenny Leon,https://en.wikipedia.org/wiki/Kenny_Leon,Fences,https://en.wikipedia.org/wiki/Fences_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Michael Grandage,https://en.wikipedia.org/wiki/Michael_Grandage,Red,https://en.wikipedia.org/wiki/Red_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Sheryl Kaller,,Next Fall,https://en.wikipedia.org/wiki/Next_Fall_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Marianne ElliottandTom Morris,https://en.wikipedia.org/wiki/Marianne_Elliott_(director),War Horse,https://en.wikipedia.org/wiki/War_Horse_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Joel GreyandGeorge C. Wolfe,https://en.wikipedia.org/wiki/Joel_Grey,The Normal Heart,https://en.wikipedia.org/wiki/The_Normal_Heart
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Anna D. Shapiro,https://en.wikipedia.org/wiki/Anna_D._Shapiro,The Motherfucker with the Hat,https://en.wikipedia.org/wiki/The_Motherfucker_with_the_Hat
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Roger ReesandAlex Timbers,https://en.wikipedia.org/wiki/Roger_Rees,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Mike Nichols,https://en.wikipedia.org/wiki/Mike_Nichols,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Nicholas Hytner,https://en.wikipedia.org/wiki/Nicholas_Hytner,"One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors"
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Pam MacKinnon,https://en.wikipedia.org/wiki/Pam_MacKinnon,Clybourne Park,https://en.wikipedia.org/wiki/Clybourne_Park
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Lucky Guy,https://en.wikipedia.org/wiki/Lucky_Guy_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Bartlett Sher,https://en.wikipedia.org/wiki/Bartlett_Sher,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Pam MacKinnon,https://en.wikipedia.org/wiki/Pam_MacKinnon,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Nicholas Martin,,Vanya and Sonia and Masha and Spike,https://en.wikipedia.org/wiki/Vanya_and_Sonia_and_Masha_and_Spike
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,John Tiffany,https://en.wikipedia.org/wiki/John_Tiffany,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Michael Grandage,https://en.wikipedia.org/wiki/Michael_Grandage,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Kenny Leon,https://en.wikipedia.org/wiki/Kenny_Leon,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Tim Carroll,,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Marianne Elliott,https://en.wikipedia.org/wiki/Marianne_Elliott_(director),The Curious Incident of the Dog in the Night-Time,https://en.wikipedia.org/wiki/The_Curious_Incident_of_the_Dog_in_the_Night-Time_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Stephen Daldry,https://en.wikipedia.org/wiki/Stephen_Daldry,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Scott Ellis,https://en.wikipedia.org/wiki/Scott_Ellis,You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Jeremy Herrin,https://en.wikipedia.org/wiki/Jeremy_Herrin,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall_Parts_One_%26_Two
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Moritz von Stuelpnagel,,Hand to God,https://en.wikipedia.org/wiki/Hand_to_God_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Liesl Tommy,https://en.wikipedia.org/wiki/Liesl_Tommy,Eclipsed,https://en.wikipedia.org/wiki/Eclipsed_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Ivo van Hove,https://en.wikipedia.org/wiki/Ivo_van_Hove,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Rupert Goold,https://en.wikipedia.org/wiki/Rupert_Goold,King Charles III,https://en.wikipedia.org/wiki/King_Charles_III_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jonathan Kent,https://en.wikipedia.org/wiki/Jonathan_Kent_(director),Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,The Humans,https://en.wikipedia.org/wiki/The_Humans_(play)
