year,season,season_link,winner,musical,musical_link,music,music_link,lyrics,lyrics_link
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,The Me Nobody Knows,https://en.wikipedia.org/wiki/The_Me_Nobody_Knows,Gary William Friedman,https://en.wikipedia.org/wiki/Gary_William_Friedman,Will Holt,https://en.wikipedia.org/wiki/Will_Holt
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical),Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Follies,https://en.wikipedia.org/wiki/Follies,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death,Block,https://en.wikipedia.org/wiki/Melvin_Van_Peebles,Block,https://en.wikipedia.org/wiki/Melvin_Van_Peebles
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Two Gentlemen of Verona,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical),Galt MacDermot,https://en.wikipedia.org/wiki/Galt_MacDermot,John Guare,https://en.wikipedia.org/wiki/John_Guare
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer),Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,"Don't Bother Me, I Can't Cope","https://en.wikipedia.org/wiki/Don%27t_Bother_Me,_I_Can%27t_Cope",Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant,Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,Peter Link,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Seesaw,https://en.wikipedia.org/wiki/Seesaw_(musical),Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Dorothy Fields,https://en.wikipedia.org/wiki/Dorothy_Fields
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Raisin,https://en.wikipedia.org/wiki/Raisin_(musical),Judd Woldin,https://en.wikipedia.org/wiki/Judd_Woldin,Robert Brittan,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Gigi,https://en.wikipedia.org/wiki/Gigi_(musical),Frederick Loewe,https://en.wikipedia.org/wiki/Frederick_Loewe,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,The Good Doctor,https://en.wikipedia.org/wiki/The_Good_Doctor_(play),Peter Link,,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,The Wiz,https://en.wikipedia.org/wiki/The_Wiz,Charlie Smalls,https://en.wikipedia.org/wiki/Charlie_Smalls,Charlie Smalls,https://en.wikipedia.org/wiki/Charlie_Smalls
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,A Letter for Queen Victoria,https://en.wikipedia.org/wiki/A_Letter_for_Queen_Victoria,Alan Lloyd,https://en.wikipedia.org/wiki/Alan_Lloyd_(composer),Alan Lloyd,https://en.wikipedia.org/wiki/Alan_Lloyd_(composer)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,The Lieutenant,https://en.wikipedia.org/wiki/The_Lieutenant_(musical),"Gene Curty, Nitra Scharfman &Chuck Strand",https://en.wikipedia.org/wiki/Chuck_Strand,"Gene Curty, Nitra Scharfman &Chuck Strand",https://en.wikipedia.org/wiki/Chuck_Strand
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Shenandoah,https://en.wikipedia.org/wiki/Shenandoah_(musical),Gary Geld,,Peter Udell,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,Marvin Hamlisch,https://en.wikipedia.org/wiki/Marvin_Hamlisch,Edward Kleban,https://en.wikipedia.org/wiki/Edward_Kleban
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Treemonisha,https://en.wikipedia.org/wiki/Treemonisha,Scott Joplin,https://en.wikipedia.org/wiki/Scott_Joplin,Scott Joplin,https://en.wikipedia.org/wiki/Scott_Joplin
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,I Love My Wife,https://en.wikipedia.org/wiki/I_Love_My_Wife,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Happy End,https://en.wikipedia.org/wiki/Happy_End_(musical),Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,Bertolt Brecht& Michael Feingold,https://en.wikipedia.org/wiki/Bertolt_Brecht
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Annie,https://en.wikipedia.org/wiki/Annie_(musical),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Martin Charnin,https://en.wikipedia.org/wiki/Martin_Charnin
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Godspell,https://en.wikipedia.org/wiki/Godspell,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer),Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,The Act,https://en.wikipedia.org/wiki/The_Act_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Runaways,https://en.wikipedia.org/wiki/Runaways_(musical),Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados,Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Working,https://en.wikipedia.org/wiki/Working_(musical),"Susan Birkenhead,Craig Carnelia,Micki Grant,Mary Rodgers,Stephen Schwartz&James Taylor",https://en.wikipedia.org/wiki/Susan_Birkenhead,"Susan Birkenhead,Craig Carnelia,Micki Grant,Mary Rodgers,Stephen Schwartz&James Taylor",https://en.wikipedia.org/wiki/Susan_Birkenhead
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Sweeney Todd,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Carmelina,https://en.wikipedia.org/wiki/Carmelina,Burton Lane,https://en.wikipedia.org/wiki/Burton_Lane,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Eubie!,https://en.wikipedia.org/wiki/Eubie!,Eubie Blake,https://en.wikipedia.org/wiki/Eubie_Blake,"Johnny Brandon,Jim Europe, F. E. Miller, Andy Razafe &Noble Sissle",https://en.wikipedia.org/wiki/Johnny_Brandon
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,The Grand Tour,https://en.wikipedia.org/wiki/The_Grand_Tour_(musical),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Evita,https://en.wikipedia.org/wiki/Evita_(musical),Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine,Frank Lazarus,,Dick Vosburgh,https://en.wikipedia.org/wiki/Dick_Vosburgh
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical),Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical),Artie Malvin,https://en.wikipedia.org/wiki/Artie_Malvin,Artie Malvin,https://en.wikipedia.org/wiki/Artie_Malvin
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Shakespeare's Cabaret,,Lance Mulcahy,https://en.wikipedia.org/wiki/Lance_Mulcahy,,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Copperfield,https://en.wikipedia.org/wiki/Copperfield_(musical),Joel Hirschhorn&Al Kasha,https://en.wikipedia.org/wiki/Joel_Hirschhorn,Joel Hirschhorn&Al Kasha,https://en.wikipedia.org/wiki/Joel_Hirschhorn
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Woman of the Year,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Charlie and Algernon,https://en.wikipedia.org/wiki/Charlie_and_Algernon,Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,David Rogers,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Nine,https://en.wikipedia.org/wiki/Nine_(musical),Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls,Henry Krieger,https://en.wikipedia.org/wiki/Henry_Krieger,Tom Eyen,https://en.wikipedia.org/wiki/Tom_Eyen
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Merrily We Roll Along,https://en.wikipedia.org/wiki/Merrily_We_Roll_Along_(musical),Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Cats,https://en.wikipedia.org/wiki/Cats_(musical),Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,T. S. Eliot,https://en.wikipedia.org/wiki/T._S._Eliot
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,A Doll's Life,https://en.wikipedia.org/wiki/A_Doll%27s_Life,Larry Grossman,https://en.wikipedia.org/wiki/Larry_Grossman_(composer),Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Merlin,https://en.wikipedia.org/wiki/Merlin_(musical),Elmer Bernstein,https://en.wikipedia.org/wiki/Elmer_Bernstein,Don Black,https://en.wikipedia.org/wiki/Don_Black_(lyricist)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Seven Brides for Seven Brothers,https://en.wikipedia.org/wiki/Seven_Brides_for_Seven_Brothers_(musical),"Gene de Paul,Joel Hirschhorn&Al Kasha",https://en.wikipedia.org/wiki/Gene_de_Paul,"Hirschhorn, Kasha &Johnny Mercer",https://en.wikipedia.org/wiki/Johnny_Mercer
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,The Rink,https://en.wikipedia.org/wiki/The_Rink_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Baby,https://en.wikipedia.org/wiki/Baby_(1983_musical),David Shire,https://en.wikipedia.org/wiki/David_Shire,Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Big River,https://en.wikipedia.org/wiki/Big_River_(musical),Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller,Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Grind,https://en.wikipedia.org/wiki/Grind_(musical),Larry Grossman,https://en.wikipedia.org/wiki/Larry_Grossman_(composer),Ellen Fitzhugh,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Quilters,https://en.wikipedia.org/wiki/Quilters_(musical),Barbara Damashek,,Barbara Damashek,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,The News,https://en.wikipedia.org/wiki/The_News_(musical),Paul Schierhorn,,Paul Schierhorn,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Don Black&Richard Maltby Jr.,https://en.wikipedia.org/wiki/Don_Black_(lyricist)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Wind in the Willows,https://en.wikipedia.org/wiki/Wind_in_the_Willows,William P. Perry,https://en.wikipedia.org/wiki/William_P._Perry,Roger McGough,https://en.wikipedia.org/wiki/Roger_McGough
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Rags,https://en.wikipedia.org/wiki/Rags_(musical),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Richard Stilgoe,https://en.wikipedia.org/wiki/Richard_Stilgoe
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Claude-Michel_Sch%C3%B6nberg,Herbert Kretzmer&Alain Boublil,https://en.wikipedia.org/wiki/Herbert_Kretzmer
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl,Noel Gay,https://en.wikipedia.org/wiki/Noel_Gay,Douglas Furber& L. Arthur Rose,https://en.wikipedia.org/wiki/Douglas_Furber
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Sarafina!,https://en.wikipedia.org/wiki/Sarafina!_(musical),Hugh Masekela&Mbongeni Ngema,https://en.wikipedia.org/wiki/Hugh_Masekela,Hugh Masekela&Mbongeni Ngema,https://en.wikipedia.org/wiki/Hugh_Masekela
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Charles Hart&Richard Stilgoe,https://en.wikipedia.org/wiki/Charles_Hart_(lyricist)
