year,season,season_link,winner,designer,designer_link,production,production_link
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Arthur Boccia,,Where's Charley?,https://en.wikipedia.org/wiki/Where%27s_Charley%3F
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Raoul Pene Du Bois,https://en.wikipedia.org/wiki/Raoul_Pene_Du_Bois,Doctor Jazz,https://en.wikipedia.org/wiki/Doctor_Jazz
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,Goodtime Charley,https://en.wikipedia.org/wiki/Goodtime_Charley
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Tanya Moiseiwitsch,https://en.wikipedia.org/wiki/Tanya_Moiseiwitsch,The Misanthrope,https://en.wikipedia.org/wiki/The_Misanthrope
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Annie,https://en.wikipedia.org/wiki/Annie_(musical)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,The Cherry Orchard,https://en.wikipedia.org/wiki/The_Cherry_Orchard
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Nancy Potts,,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Geoffrey Holder,https://en.wikipedia.org/wiki/Geoffrey_Holder,Timbuktu!,https://en.wikipedia.org/wiki/Timbuktu!
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Edward Gorey,https://en.wikipedia.org/wiki/Edward_Gorey,Dracula,https://en.wikipedia.org/wiki/Dracula_(1924_play)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Halston,https://en.wikipedia.org/wiki/Halston,The Act,https://en.wikipedia.org/wiki/The_Act_(musical)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,Dancin',https://en.wikipedia.org/wiki/Dancin%27
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Julie Weiss,https://en.wikipedia.org/wiki/Julie_Weiss,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The Crucifer of Blood,https://en.wikipedia.org/wiki/The_Crucifer_of_Blood
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Franne Lee,https://en.wikipedia.org/wiki/Franne_Lee,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Pierre Balmain,https://en.wikipedia.org/wiki/Pierre_Balmain,Happy New Year,https://en.wikipedia.org/wiki/Happy_New_Year_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Raoul Pene Du Bois,https://en.wikipedia.org/wiki/Raoul_Pene_Du_Bois,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Tazeena Firth andTimothy O'Brien,https://en.wikipedia.org/wiki/Timothy_O%27Brien_(theatre_designer),Evita,https://en.wikipedia.org/wiki/Evita_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,John Bury,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer),Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Franca Squarciapino,https://en.wikipedia.org/wiki/Franca_Squarciapino,Can-Can,https://en.wikipedia.org/wiki/Can-Can_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Nine,https://en.wikipedia.org/wiki/Nine_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Medea,https://en.wikipedia.org/wiki/Medea_(play)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,John Napier,https://en.wikipedia.org/wiki/John_Napier_(designer),The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Alice in Wonderland,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Rita Ryack,https://en.wikipedia.org/wiki/Rita_Ryack,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,John Napier,https://en.wikipedia.org/wiki/John_Napier_(designer),Cats,https://en.wikipedia.org/wiki/Cats_(musical)
