year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Millicent Martin,https://en.wikipedia.org/wiki/Millicent_Martin,King of Hearts,https://en.wikipedia.org/wiki/King_of_Hearts_(musical),Madame Madeleine,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Maxine Sullivan,https://en.wikipedia.org/wiki/Maxine_Sullivan,My Old Friends,,Mrs. Cooper,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Priscilla Lopez,https://en.wikipedia.org/wiki/Priscilla_Lopez,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine,Gino / Usherette,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Debbie Allen,https://en.wikipedia.org/wiki/Debbie_Allen,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story,Anita,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical),Charity 'Chairy'Barnum,https://en.wikipedia.org/wiki/P.T._Barnum
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Josie de Guzman,https://en.wikipedia.org/wiki/Josie_de_Guzman,West Side Story,,Maria,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Lynne Thigpen,https://en.wikipedia.org/wiki/Lynne_Thigpen,Tintypes,https://en.wikipedia.org/wiki/Tintypes,Sussanah,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Wanda Richert,https://en.wikipedia.org/wiki/Wanda_Richert,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),Peggy Sawyer,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Phyllis Hyman,https://en.wikipedia.org/wiki/Phyllis_Hyman,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies,Various Characters,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Marilyn Cooper,https://en.wikipedia.org/wiki/Marilyn_Cooper,Woman of the Year,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical),Jan Donovan,
