year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1969,1969,/wiki/23rd_Tony_Awards,False,Louis Zorich,https://en.wikipedia.org/wiki/Louis_Zorich,Cardinal Ragna,Hadrian VII,https://en.wikipedia.org/wiki/Hadrian_VII,[25],https://en.wikipedia.org#cite_note-1969_Awards-26,
1970,1970,/wiki/24th_Tony_Awards,False,Joseph Bova,https://en.wikipedia.org/wiki/Joseph_Bova,Mr. Lee,The Chinese and Dr. Fish,,[26],https://en.wikipedia.org#cite_note-1970_Awards-27,
1970,1970,/wiki/24th_Tony_Awards,False,Dennis King,https://en.wikipedia.org/wiki/Dennis_King,Baron von Epp,A Patriot for Me,https://en.wikipedia.org/wiki/A_Patriot_for_Me,[26],https://en.wikipedia.org#cite_note-1970_Awards-27,
1970,1970,/wiki/24th_Tony_Awards,True,Ken Howard,https://en.wikipedia.org/wiki/Ken_Howard,Paul Reese,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(play),[26],https://en.wikipedia.org#cite_note-1970_Awards-27,
1971,1971,/wiki/25th_Tony_Awards,False,Ed Zimmermann,,Donald,The Philanthropist,https://en.wikipedia.org/wiki/The_Philanthropist_(play),[29],https://en.wikipedia.org#cite_note-31,
1971,1971,/wiki/25th_Tony_Awards,False,Donald Pickering,https://en.wikipedia.org/wiki/Donald_Pickering,Capt. Rupert Harper,Conduct Unbecoming,https://en.wikipedia.org/wiki/Conduct_Unbecoming_(play),[29],https://en.wikipedia.org#cite_note-31,
1971,1971,/wiki/25th_Tony_Awards,True,Paul Sand,https://en.wikipedia.org/wiki/Paul_Sand,Multiple[b],Paul Sills' Story Theatre,https://en.wikipedia.org/wiki/Paul_Sills%27_Story_Theatre,[29],https://en.wikipedia.org#cite_note-31,https://en.wikipedia.org#cite_note-30
1971,1971,/wiki/25th_Tony_Awards,False,Ronald Radd,https://en.wikipedia.org/wiki/Ronald_Radd,Gilies de Vannes,Abelard and Heloise,,[29],https://en.wikipedia.org#cite_note-31,
1972,1972,/wiki/26th_Tony_Awards,True,Vincent Gardenia,https://en.wikipedia.org/wiki/Vincent_Gardenia,Harry Edison,The Prisoner of Second Avenue,https://en.wikipedia.org/wiki/The_Prisoner_of_Second_Avenue,[30],https://en.wikipedia.org#cite_note-1972_Awards-32,
1972,1972,/wiki/26th_Tony_Awards,False,Douglas Rain,https://en.wikipedia.org/wiki/Douglas_Rain,William Cecil,Vivat! Vivat Regina!,https://en.wikipedia.org/wiki/Vivat!_Vivat_Regina!,[30],https://en.wikipedia.org#cite_note-1972_Awards-32,
1972,1972,/wiki/26th_Tony_Awards,False,Lee Richardson,https://en.wikipedia.org/wiki/Lee_Richardson_(actor),Lord Bothwell,Vivat! Vivat! Regina!,,[30],https://en.wikipedia.org#cite_note-1972_Awards-32,
1972,1972,/wiki/26th_Tony_Awards,False,Joe Silver,https://en.wikipedia.org/wiki/Joe_Silver,Various Characters,Lenny,https://en.wikipedia.org/wiki/Lenny_(film),[30],https://en.wikipedia.org#cite_note-1972_Awards-32,
1973,1973,/wiki/27th_Tony_Awards,True,John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,Kenny Kendal,The Changing Room,https://en.wikipedia.org/wiki/The_Changing_Room,[31],https://en.wikipedia.org#cite_note-1973_Awards-33,
1973,1973,/wiki/27th_Tony_Awards,False,Barnard Hughes,https://en.wikipedia.org/wiki/Barnard_Hughes,Dogberry,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,[31],https://en.wikipedia.org#cite_note-1973_Awards-33,https://en.wikipedia.org/wiki/Dogberry
1973,1973,/wiki/27th_Tony_Awards,False,John McMartin,https://en.wikipedia.org/wiki/John_McMartin,Sganarelle,Don Juan,https://en.wikipedia.org/wiki/Don_Juan,[31],https://en.wikipedia.org#cite_note-1973_Awards-33,
1973,1973,/wiki/27th_Tony_Awards,False,Hayward Morse,https://en.wikipedia.org/wiki/Hayward_Morse,Joseph Keyston,Butley,https://en.wikipedia.org/wiki/Butley_(play),[31],https://en.wikipedia.org#cite_note-1973_Awards-33,
