year,season,season_link,winner,designer,production,production_link,designer_link
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Ben Edwards,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,John Napier,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),https://en.wikipedia.org/wiki/John_Napier_(designer)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Bob Crowley,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses_(play),https://en.wikipedia.org/wiki/Bob_Crowley
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Martin Johns,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl,https://en.wikipedia.org/w/index.php?title=Martin_Johns_(set_designer)&action=edit&redlink=1
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Tony Walton,The Front Page,https://en.wikipedia.org/wiki/The_Front_Page,https://en.wikipedia.org/wiki/Tony_Walton
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Tony Walton,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes,https://en.wikipedia.org/wiki/Tony_Walton
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Maria Björnson,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),https://en.wikipedia.org/wiki/Maria_Bj%C3%B6rnson
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Eiko Ishioka,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly,https://en.wikipedia.org/wiki/Eiko_Ishioka
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Tony Straiges,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,https://en.wikipedia.org/wiki/Tony_Straiges
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Tony Walton,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor,https://en.wikipedia.org/wiki/Tony_Walton
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Héctor Orezzoli and Claudio Segovia,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical),
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Santo Loquasto,Cafe Crown,https://en.wikipedia.org/wiki/Cafe_Crown,https://en.wikipedia.org/wiki/Santo_Loquasto
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Thomas Lynch,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Tony Walton,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical),https://en.wikipedia.org/wiki/Tony_Walton
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Robin Wagner,City of Angels,https://en.wikipedia.org/wiki/City_of_Angels_(musical),https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Alexandra Byrne,Some Americans Abroad,,https://en.wikipedia.org/wiki/Alexandra_Byrne
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Kevin Rigdon,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath,https://en.wikipedia.org/wiki/Kevin_Rigdon
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,John Napier,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon,https://en.wikipedia.org/wiki/John_Napier_(designer)
