year,season,season_link,winner,choreographer,choreographer_link,production,production_link
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Ndaba Mhlongo andMbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema,Sarafina!,https://en.wikipedia.org/wiki/Sarafina!_(musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Gillian Lynne,https://en.wikipedia.org/wiki/Gillian_Lynne,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Lar Lubovitch,https://en.wikipedia.org/wiki/Lar_Lubovitch,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Michael Smuin,https://en.wikipedia.org/wiki/Michael_Smuin,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,"Cholly Atkins,Henry LeTang,Frankie ManningandFayard Nicholas",https://en.wikipedia.org/wiki/Cholly_Atkins,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical)
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Michele Assaf,,Starmites,https://en.wikipedia.org/wiki/Starmites
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Bill Irwinand Kimi Okada,https://en.wikipedia.org/wiki/Bill_Irwin,Largely New York,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Alan Johnson,https://en.wikipedia.org/wiki/Alan_Johnson_(choreographer),Legs Diamond,https://en.wikipedia.org/wiki/Legs_Diamond_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Joan Brickhill,https://en.wikipedia.org/wiki/Joan_Brickhill,Meet Me in St. Louis,https://en.wikipedia.org/wiki/Meet_Me_in_St._Louis
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Graciela Danieleand Tina Paul,https://en.wikipedia.org/wiki/Graciela_Daniele,Dangerous Games,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Dan Siretta,,"Oh, Kay!","https://en.wikipedia.org/wiki/Oh,_Kay!"
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Bob Avian,https://en.wikipedia.org/wiki/Bob_Avian,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Terry John Bates,,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Christopher Chadman,https://en.wikipedia.org/wiki/Christopher_Chadman,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,"Hope Clarke,Gregory Hinesand Ted L. Levy",https://en.wikipedia.org/wiki/Hope_Clarke,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Randy Skinner,https://en.wikipedia.org/wiki/Randy_Skinner,Ain't Broadway Grand,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Rob MarshallandVincent Paterson,https://en.wikipedia.org/wiki/Rob_Marshall,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,The Goodbye Girl,https://en.wikipedia.org/wiki/The_Goodbye_Girl
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Kenneth MacMillan,https://en.wikipedia.org/wiki/Kenneth_MacMillan,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Jeff Calhoun,https://en.wikipedia.org/wiki/Jeff_Calhoun_(choreographer),Grease,https://en.wikipedia.org/wiki/Grease_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Rob Marshall,https://en.wikipedia.org/wiki/Rob_Marshall,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Rob Marshall,https://en.wikipedia.org/wiki/Rob_Marshall,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Show Boat,https://en.wikipedia.org/wiki/Show_Boat
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Bob Avian,https://en.wikipedia.org/wiki/Bob_Avian,Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Joey McKneely,,Smokey Joe's Cafe,https://en.wikipedia.org/wiki/Smokey_Joe%27s_Cafe
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Savion Glover,https://en.wikipedia.org/wiki/Savion_Glover,"Bring in 'da Noise, Bring in 'da Funk","https://en.wikipedia.org/wiki/Bring_in_%27da_Noise,_Bring_in_%27da_Funk"
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,Chronicle of a Death Foretold,https://en.wikipedia.org/wiki/Chronicle_of_a_Death_Foretold
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Big: the musical,https://en.wikipedia.org/wiki/Big:_the_musical
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Marlies Yearby,,Rent,https://en.wikipedia.org/wiki/Rent_(musical)
