year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Stephen Spinella,https://en.wikipedia.org/wiki/Stephen_Spinella,James Joyce's The Dead,https://en.wikipedia.org/wiki/James_Joyce%27s_The_Dead,Freddy Malins,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Lee Wilkof,https://en.wikipedia.org/wiki/Lee_Wilkof,"Kiss Me, Kate",,First Man,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,John Ellison Conlee,,The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty_(musical),Dave Butatinsky,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Gary Beach,https://en.wikipedia.org/wiki/Gary_Beach,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical),Roger DeBris,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Roger Bart,https://en.wikipedia.org/wiki/Roger_Bart,The Producers,,Carmen Ghia,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,André De Shields,https://en.wikipedia.org/wiki/Andr%C3%A9_De_Shields,The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty_(musical),"Noah ""Horse"" T. Simmons",
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Brad Oscar,https://en.wikipedia.org/wiki/Brad_Oscar,The Producers,,Franz Liebkind,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Marc Kudisch,https://en.wikipedia.org/wiki/Marc_Kudisch,Thoroughly Modern Millie,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie_(musical),Trevor Graydon,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Gregg Edelman,https://en.wikipedia.org/wiki/Gregg_Edelman,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,Cinderella's Prince /The Wolf,https://en.wikipedia.org/wiki/Big_Bad_Wolf
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Norbert Leo Butz,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,Thou Shalt Not,https://en.wikipedia.org/wiki/Thou_Shalt_Not_(musical),Camille Raquin,https://en.wikipedia.org/wiki/Camille_Raquin
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Shuler Hensley,https://en.wikipedia.org/wiki/Shuler_Hensley,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!,Jud Fry,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Brian d'Arcy James,https://en.wikipedia.org/wiki/Brian_d%27Arcy_James,Sweet Smell of Success,https://en.wikipedia.org/wiki/Sweet_Smell_of_Success:_The_Musical,Sidney Falco,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Keith Roberts,https://en.wikipedia.org/wiki/Keith_Roberts_(dancer),Movin' Out,,Tony,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Corey Reynolds,https://en.wikipedia.org/wiki/Corey_Reynolds,Hairspray,,Seaweed J. Stubbs,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Dick Latessa,https://en.wikipedia.org/wiki/Dick_Latessa,Hairspray,https://en.wikipedia.org/wiki/Hairspray_(musical),Wilbur Turnblad,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Michael Cavanaugh,https://en.wikipedia.org/wiki/Michael_Cavanaugh_(Musician),Movin' Out,https://en.wikipedia.org/wiki/Movin%27_Out_(musical),Piano Man,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,John Dossett,https://en.wikipedia.org/wiki/John_Dossett,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Herbie,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Michael Cerveris,https://en.wikipedia.org/wiki/Michael_Cerveris,Assassins,https://en.wikipedia.org/wiki/Assassins_(musical),John Wilkes Booth,https://en.wikipedia.org/wiki/John_Wilkes_Booth
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,John Cariani,https://en.wikipedia.org/wiki/John_Cariani,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Motel Kamzoil,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Raúl Esparza,https://en.wikipedia.org/wiki/Ra%C3%BAl_Esparza,Taboo,https://en.wikipedia.org/wiki/Taboo_(musical),Philip Salon,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Michael McElroy,https://en.wikipedia.org/wiki/Michael_McElroy_(actor),Big River,https://en.wikipedia.org/wiki/Big_River_(musical),Jim,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Denis O'Hare,https://en.wikipedia.org/wiki/Denis_O%27Hare,Assassins,,Charles Guiteau,https://en.wikipedia.org/wiki/Charles_J._Guiteau
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Matthew Morrison,https://en.wikipedia.org/wiki/Matthew_Morrison,The Light in the Piazza,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical),Fabrizio Nacarelli,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Dan Fogler,https://en.wikipedia.org/wiki/Dan_Fogler,The 25th Annual Putnam County Spelling Bee,https://en.wikipedia.org/wiki/The_25th_Annual_Putnam_County_Spelling_Bee,William Barfée,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Marc Kudisch,https://en.wikipedia.org/wiki/Marc_Kudisch,Chitty Chitty Bang Bang,https://en.wikipedia.org/wiki/Chitty_Chitty_Bang_Bang_(musical),Baron Bomburst,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Michael McGrath,https://en.wikipedia.org/wiki/Michael_McGrath_(actor),Spamalot,https://en.wikipedia.org/wiki/Spamalot,Patsy,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Christopher Sieber,https://en.wikipedia.org/wiki/Christopher_Sieber,Spamalot,,Sir Galahad,https://en.wikipedia.org/wiki/Galahad
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Manoel Felciano,https://en.wikipedia.org/wiki/Manoel_Felciano,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,Tobias Ragg,https://en.wikipedia.org/wiki/Tobias_Ragg
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Brandon Victor Dixon,https://en.wikipedia.org/wiki/Brandon_Victor_Dixon,The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(musical),Harpo,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Danny Burstein,https://en.wikipedia.org/wiki/Danny_Burstein,The Drowsy Chaperone,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone,Aldolpho,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Jim Dale,https://en.wikipedia.org/wiki/Jim_Dale,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Mr. Peachum,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Christian Hoff,https://en.wikipedia.org/wiki/Christian_Hoff,Jersey Boys,https://en.wikipedia.org/wiki/Jersey_Boys,Tommy DeVito,https://en.wikipedia.org/wiki/Tommy_DeVito_(musician)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,John Gallagher Jr.,https://en.wikipedia.org/wiki/John_Gallagher_Jr.,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical),Moritz Stiefel,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Brooks Ashmanskas,https://en.wikipedia.org/wiki/Brooks_Ashmanskas,Martin Short: Fame Becomes Me,https://en.wikipedia.org/wiki/Martin_Short:_Fame_Becomes_Me,Various Characters,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Christian Borle,https://en.wikipedia.org/wiki/Christian_Borle,Legally Blonde,https://en.wikipedia.org/wiki/Legally_Blonde_(musical),Emmett Forrest,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,John Cullum,https://en.wikipedia.org/wiki/John_Cullum,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade,H.C. Curry,
